Timestamp,Please rank these issues in order of importance to you. [Most important],Please rank these issues in order of importance to you. [Second most important],Please rank these issues in order of importance to you. [Third most important],Please rank these issues in order of importance to you. [Fourth most important],Please rank these issues in order of importance to you. [Least important],What is your position on abortion?,What is your position on immigration?,What is your position on healthcare?,What is your position on the environment?,What is your position on military funding?,Barack Obama,George W Bush,Donald Trump,Hilary Clinton,Mitt Romney,John McCain,Bernie Sanders,Joe Biden,Elizabeth Warren,Cory Booker,Kamala Harris,Kirsten Gillibrand,Amy Klobuchar,Ted Cruz,John Kasich,Marco Rubio,Scott Walker,Ben Carson,Jeb Bush,John Kerry
3/8/2019 17:19:11,5,1,4,3,2,1,5,1,1,1,5,2,1,3,2,3,3,4,5,5,5,4,4,1,3,2,1,2,2,2
3/8/2019 17:25:21,4,5,3,1,2,8,4,3,2,2,5,3,1,4,3,4,4,5,4,3,4,3,3,1,3,2,1,2,2,4
3/8/2019 17:25:35,5,4,2,3,1,3,2,1,1,1,4,2,1,4,3,3,2,4,3,4,3,2,3,2,3,3,1,1,3,3
3/8/2019 18:12:41,1,4,3,5,2,9,2,10,9,4,2,2,3,1,3,3,1,1,1,4,1,1,2,3,3,3,4,3,3,1
3/8/2019 18:15:26,5,4,3,1,2,3,2,2,1,5,5,2,1,4,3,4,2,4,5,4,4,4,4,1,4,2,1,1,3,3
3/8/2019 18:33:13,4,1,3,5,2,1,6,3,8,10,5,4,5,1,4,2,4,5,2,2,3,4,3,1,4,1,3,5,3,5
3/8/2019 19:09:31,3,5,1,4,2,3,2,4,2,1,4,2,1,3,3,3,4,3,3,3,4,3,3,2,3,2,1,2,2,3
3/8/2019 19:27:24,4,1,5,3,2,8,6,1,3,1,3,3,2,3,3,3,4,3,2,3,3,3,3,1,3,3,2,3,3,3
3/8/2019 20:41:44,4,3,5,1,2,2,3,2,2,2,5,2,1,4,3,3,4,4,2,3,3,3,3,1,1,1,1,1,2,3
3/8/2019 20:53:31,3,2,4,5,1,8,9,10,8,8,1,4,4,1,2,1,1,1,1,1,1,1,1,5,2,3,5,4,2,2
3/8/2019 22:09:46,5,1,4,3,2,2,3,2,2,4,4,2,1,2,2,3,4,4,4,5,5,4,4,2,3,3,2,1,2,4
3/8/2019 22:13:57,5,4,3,1,2,3,3,1,1,3,4,2,1,4,2,2,5,4,4,3,2,3,3,1,2,2,1,1,2,3
3/8/2019 22:32:21,5,4,3,1,2,3,4,3,1,4,4,3,1,3,2,2,2,3,4,3,3,2,4,1,2,2,1,1,1,2
3/8/2019 22:53:55,5,4,1,2,3,2,4,3,1,5,5,2,1,3,2,4,4,4,3,3,3,3,3,2,3,2,1,2,2,3
3/8/2019 23:31:39,5,4,3,1,2,2,3,1,1,4,5,3,1,5,3,4,4,5,5,3,4,4,3,1,2,1,1,1,3,3
3/8/2019 23:39:43,1,5,2,4,3,1,3,1,3,1,4,3,1,4,3,3,4,5,4,5,4,4,4,2,3,2,2,1,2,3
3/8/2019 23:45:53,5,1,4,3,2,3,6,4,1,4,5,2,1,3,2,3,3,4,4,3,5,3,3,1,3,2,1,1,2,4
3/8/2019 23:48:44,4,3,1,5,2,1,1,1,3,1,3,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
3/8/2019 23:59:37,5,1,4,3,2,1,1,1,1,1,5,2,1,4,1,3,4,4,5,4,5,3,4,1,3,2,1,3,1,4
3/9/2019 0:01:13,4,3,5,1,2,4,4,2,2,1,4,2,1,2,1,1,3,3,3,3,3,3,3,1,2,1,1,2,2,3
3/9/2019 0:33:52,4,3,5,1,2,3,2,1,2,5,4,3,1,4,3,3,4,5,4,3,3,3,3,2,3,2,1,3,2,2
3/9/2019 2:44:34,5,4,3,1,2,8,8,9,4,3,3,2,2,1,4,3,2,4,1,2,1,1,1,2,4,3,2,3,3,4
3/9/2019 3:28:19,4,5,3,1,2,1,3,1,2,5,5,3,1,3,4,2,4,5,5,2,2,3,3,1,2,3,1,1,3,1
3/9/2019 6:09:13,1,4,5,2,3,8,4,9,4,10,1,3,2,1,4,5,1,2,1,3,2,3,3,5,5,5,5,5,4,3
3/9/2019 7:23:11,1,2,5,3,4,10,5,5,4,6,2,3,3,1,4,5,1,2,1,1,1,3,3,2,2,5,5,5,3,3
3/9/2019 11:10:35,3,2,1,4,5,9,5,5,8,7,2,4,3,2,3,4,1,2,1,2,2,2,2,3,3,5,5,3,2,2
3/9/2019 14:09:38,5,4,3,2,1,10,4,1,1,4,4,1,1,2,4,3,3,2,4,2,3,2,4,4,3,3,2,2,2,4
3/9/2019 17:33:54,3,5,4,1,2,3,2,1,1,3,5,3,1,3,3,4,4,5,4,4,4,3,3,2,2,2,2,1,2,2
3/9/2019 17:34:53,1,4,5,3,2,3,4,4,4,3,4,1,1,4,3,4,3,4,4,3,4,4,2,1,3,2,1,2,3,4
